year month day nasdaq oil
2.019000000000000000e+03 3.000000000000000000e+00 2.900000000000000000e+01 7.729319823999999244e+03 6.018999999999999773e+01
2.019000000000000000e+03 4.000000000000000000e+00 1.000000000000000000e+00 7.828910155999999915e+03 6.159000000000000341e+01
2.019000000000000000e+03 4.000000000000000000e+00 2.000000000000000000e+00 7.848689940999999635e+03 6.253000000000000114e+01
2.019000000000000000e+03 4.000000000000000000e+00 3.000000000000000000e+00 7.895549804999999651e+03 6.246000000000000085e+01
2.019000000000000000e+03 4.000000000000000000e+00 4.000000000000000000e+00 7.891779784999999720e+03 6.211999999999999744e+01
2.019000000000000000e+03 4.000000000000000000e+00 5.000000000000000000e+00 7.938689940999999635e+03 6.310000000000000142e+01
2.019000000000000000e+03 4.000000000000000000e+00 8.000000000000000000e+00 7.953879882999999609e+03 6.437000000000000455e+01
2.019000000000000000e+03 4.000000000000000000e+00 9.000000000000000000e+00 7.909279784999999720e+03 6.404999999999999716e+01
2.019000000000000000e+03 4.000000000000000000e+00 1.000000000000000000e+01 7.964240234000000783e+03 6.462000000000000455e+01
2.019000000000000000e+03 4.000000000000000000e+00 1.100000000000000000e+01 7.947359862999999677e+03 6.360999999999999943e+01
2.019000000000000000e+03 4.000000000000000000e+00 1.200000000000000000e+01 7.984160155999999915e+03 6.385999999999999943e+01
2.019000000000000000e+03 4.000000000000000000e+00 1.500000000000000000e+01 7.976009765999999217e+03 6.342999999999999972e+01
2.019000000000000000e+03 4.000000000000000000e+00 1.600000000000000000e+01 8.000229980000000069e+03 6.401000000000000512e+01
2.019000000000000000e+03 4.000000000000000000e+00 1.700000000000000000e+01 7.996080077999999958e+03 6.374000000000000199e+01
2.019000000000000000e+03 4.000000000000000000e+00 1.800000000000000000e+01 7.998060059000000365e+03 6.401999999999999602e+01
2.019000000000000000e+03 4.000000000000000000e+00 2.200000000000000000e+01 8.015270019999999931e+03 6.565999999999999659e+01
2.019000000000000000e+03 4.000000000000000000e+00 2.300000000000000000e+01 8.120819823999999244e+03 6.623999999999999488e+01
2.019000000000000000e+03 4.000000000000000000e+00 2.400000000000000000e+01 8.102009765999999217e+03 6.595999999999999375e+01
2.019000000000000000e+03 4.000000000000000000e+00 2.500000000000000000e+01 8.118680176000000756e+03 6.523000000000000398e+01
2.019000000000000000e+03 4.000000000000000000e+00 2.600000000000000000e+01 8.146399901999999202e+03 6.328999999999999915e+01
2.019000000000000000e+03 4.000000000000000000e+00 2.900000000000000000e+01 8.161850098000000798e+03 6.339000000000000057e+01
2.019000000000000000e+03 4.000000000000000000e+00 3.000000000000000000e+01 8.095390137000000323e+03 6.382999999999999829e+01
2.019000000000000000e+03 5.000000000000000000e+00 1.000000000000000000e+00 8.049640137000000323e+03 6.354999999999999716e+01
2.019000000000000000e+03 5.000000000000000000e+00 2.000000000000000000e+00 8.036770019999999931e+03 6.175000000000000000e+01
2.019000000000000000e+03 5.000000000000000000e+00 3.000000000000000000e+00 8.164000000000000000e+03 6.197999999999999687e+01
2.019000000000000000e+03 5.000000000000000000e+00 6.000000000000000000e+00 8.123290039000000434e+03 6.229999999999999716e+01
2.019000000000000000e+03 5.000000000000000000e+00 7.000000000000000000e+00 7.963759765999999217e+03 6.140999999999999659e+01
2.019000000000000000e+03 5.000000000000000000e+00 8.000000000000000000e+00 7.943319823999999244e+03 6.213000000000000256e+01
2.019000000000000000e+03 5.000000000000000000e+00 9.000000000000000000e+00 7.910589844000000085e+03 6.157999999999999829e+01
2.019000000000000000e+03 5.000000000000000000e+00 1.000000000000000000e+01 7.916939940999999635e+03 6.164999999999999858e+01
2.019000000000000000e+03 5.000000000000000000e+00 1.300000000000000000e+01 7.647020019999999931e+03 6.096999999999999886e+01
2.019000000000000000e+03 5.000000000000000000e+00 1.400000000000000000e+01 7.734490234000000783e+03 6.182000000000000028e+01
2.019000000000000000e+03 5.000000000000000000e+00 1.500000000000000000e+01 7.822149901999999202e+03 6.203000000000000114e+01
2.019000000000000000e+03 5.000000000000000000e+00 1.600000000000000000e+01 7.898049804999999651e+03 6.292999999999999972e+01
2.019000000000000000e+03 5.000000000000000000e+00 1.700000000000000000e+01 7.816279784999999720e+03 6.277000000000000313e+01
