data	cotacao
12-03-2019	1.129
11-03-2019	1.125
08-03-2019	1.124
07-03-2019	1.119
06-03-2019	1.131
05-03-2019	1.131
04-03-2019	1.134
01-03-2019	1.138
28-02-2019	1.137
27-02-2019	1.137
26-02-2019	1.139
25-02-2019	1.136
22-02-2019	1.134
21-02-2019	1.134
20-02-2019	1.134
19-02-2019	1.134
18-02-2019	1.131
15-02-2019	1.130
14-02-2019	1.130
13-02-2019	1.127
12-02-2019	1.133
11-02-2019	1.128
08-02-2019	1.133
07-02-2019	1.134
06-02-2019	1.136
05-02-2019	1.142
04-02-2019	1.144
01-02-2019	1.146
31-01-2019	1.145
30-01-2019	1.148
29-01-2019	1.143
28-01-2019	1.143
25-01-2019	1.142
24-01-2019	1.131
23-01-2019	1.138
22-01-2019	1.136
21-01-2019	1.137
18-01-2019	1.136
17-01-2019	1.140
16-01-2019	1.140
15-01-2019	1.142
14-01-2019	1.148
11-01-2019	1.147
10-01-2019	1.150
09-01-2019	1.154
08-01-2019	1.144
07-01-2019	1.148
04-01-2019	1.140
03-01-2019	1.139
02-01-2019	1.134
01-01-2019	1.146
31-12-2018	1.147
28-12-2018	1.144
27-12-2018	1.143
26-12-2018	1.135
25-12-2018	1.136
24-12-2018	1.140
21-12-2018	1.137
20-12-2018	1.145
19-12-2018	1.138
18-12-2018	1.136
17-12-2018	1.135
14-12-2018	1.131
13-12-2018	1.136
12-12-2018	1.137
11-12-2018	1.132
10-12-2018	1.136
07-12-2018	1.138
06-12-2018	1.138
05-12-2018	1.134
04-12-2018	1.135
03-12-2018	1.135
30-11-2018	1.132
29-11-2018	1.139
28-11-2018	1.137
27-11-2018	1.129
26-11-2018	1.133
23-11-2018	1.134
22-11-2018	1.141
21-11-2018	1.139
20-11-2018	1.137
19-11-2018	1.145
16-11-2018	1.142
15-11-2018	1.133
14-11-2018	1.131
13-11-2018	1.129
12-11-2018	1.122
09-11-2018	1.134
08-11-2018	1.136
07-11-2018	1.143
06-11-2018	1.143
05-11-2018	1.141
02-11-2018	1.139
01-11-2018	1.141
31-10-2018	1.131
30-10-2018	1.134
29-10-2018	1.137
26-10-2018	1.140
25-10-2018	1.138
24-10-2018	1.139
23-10-2018	1.147
22-10-2018	1.147
19-10-2018	1.152
18-10-2018	1.145
17-10-2018	1.150
16-10-2018	1.158
15-10-2018	1.158
12-10-2018	1.156
11-10-2018	1.159
10-10-2018	1.152
09-10-2018	1.149
08-10-2018	1.149
05-10-2018	1.152
04-10-2018	1.152
03-10-2018	1.148
02-10-2018	1.155
01-10-2018	1.158
28-09-2018	1.161
27-09-2018	1.164
26-09-2018	1.174
25-09-2018	1.177
24-09-2018	1.175
21-09-2018	1.175
20-09-2018	1.178
19-09-2018	1.167
18-09-2018	1.167
17-09-2018	1.168
14-09-2018	1.163
13-09-2018	1.169
12-09-2018	1.163
11-09-2018	1.161
10-09-2018	1.159
07-09-2018	1.155
06-09-2018	1.162
05-09-2018	1.163
04-09-2018	1.158
03-09-2018	1.162
31-08-2018	1.160
30-08-2018	1.167
29-08-2018	1.171
28-08-2018	1.170
27-08-2018	1.168
24-08-2018	1.162
23-08-2018	1.154
22-08-2018	1.160
21-08-2018	1.157
20-08-2018	1.148
17-08-2018	1.144
16-08-2018	1.138
15-08-2018	1.135
14-08-2018	1.134
13-08-2018	1.141
10-08-2018	1.141
09-08-2018	1.153
08-08-2018	1.161
07-08-2018	1.160
06-08-2018	1.155
03-08-2018	1.157
02-08-2018	1.158
01-08-2018	1.166
31-07-2018	1.169
30-07-2018	1.171
27-07-2018	1.166
26-07-2018	1.164
25-07-2018	1.173
24-07-2018	1.169
23-07-2018	1.169
20-07-2018	1.172
19-07-2018	1.164
18-07-2018	1.164
17-07-2018	1.166
16-07-2018	1.171
13-07-2018	1.169
12-07-2018	1.167
11-07-2018	1.167
10-07-2018	1.174
09-07-2018	1.175
06-07-2018	1.175
05-07-2018	1.169
04-07-2018	1.166
03-07-2018	1.166
02-07-2018	1.164
29-06-2018	1.169
28-06-2018	1.157
27-06-2018	1.155
26-06-2018	1.165
25-06-2018	1.170
22-06-2018	1.166
21-06-2018	1.160
20-06-2018	1.157
19-06-2018	1.159
18-06-2018	1.162
15-06-2018	1.161
14-06-2018	1.157
13-06-2018	1.179
12-06-2018	1.175
11-06-2018	1.178
08-06-2018	1.177
07-06-2018	1.180
06-06-2018	1.177
05-06-2018	1.172
04-06-2018	1.170
01-06-2018	1.166
31-05-2018	1.169
30-05-2018	1.166
29-05-2018	1.154
28-05-2018	1.162
25-05-2018	1.165
24-05-2018	1.172
23-05-2018	1.170
22-05-2018	1.178
21-05-2018	1.179
18-05-2018	1.178
17-05-2018	1.180
16-05-2018	1.181
15-05-2018	1.184
14-05-2018	1.193
11-05-2018	1.194
10-05-2018	1.192
09-05-2018	1.185
08-05-2018	1.186
07-05-2018	1.192
04-05-2018	1.196
03-05-2018	1.199
02-05-2018	1.195
01-05-2018	1.199
30-04-2018	1.208
27-04-2018	1.213
26-04-2018	1.210
25-04-2018	1.216
24-04-2018	1.223
23-04-2018	1.221
20-04-2018	1.229
19-04-2018	1.235
18-04-2018	1.237
17-04-2018	1.237
